"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"121","Ille, Eduard",1823,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1288855"," illustrator ",NA,NA,NA,4240,19,5,2340,3,5,0.924677357291268
"122","Jabin, Georg",1828,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1504846"," painter ",NA,NA,NA,3086,19,1,NA,NA,NA,0.354337421932195
"123"," Jancke ,  August ",1810,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q29352240"," painter ",NA,NA,NA,6905,8,1,NA,NA,NA,0.492924215292848
"124","Jonas, Margarethe",1783,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1895121"," painter ",NA,NA,NA,2347,15,2,NA,NA,NA,0.331827932444696
"125","(Maler), Johann",1819,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1694895"," painter ",NA,NA,NA,3772,10,1,NA,NA,NA,0.330079111600983
"126","Keyser, Nicaise",1813,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q569045"," painter ",7507,64,9,5166,34,9,4386,38,9,2.59122789817228
"127","(Maler), Matthias",1748,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1910053"," painter ",NA,NA,NA,2210,15,2,2373,5,2,0.518449224618266
"128","Koettgen, Gustav",1805,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q14544528"," painter ",NA,NA,NA,15821,26,1,NA,NA,NA,1.12214140760158
"129"," Allemand ,  Fritz ",1812," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1467409"," painter ",NA,NA,NA,5339,22,4,1565,4,4,0.893274356210737
"130","L%E2%80%99Allemand, Siegmund",1840," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q2284105"," painter ",NA,NA,NA,4992,42,4,1999,7,4,1.04220232040839
"131","Lauer, Nikolaus",1753,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1991563"," painter ",NA,NA,NA,4730,16,1,NA,NA,NA,0.426139039691484
"132","Liebsch, Ferdinand",1816,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1405558"," painter ",NA,NA,NA,3828,11,1,NA,NA,NA,0.340237690926914
"133"," Lorck ,  Melchior ",1527,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q70893"," engraver ",33657,33,8,37354,55,8,33346,12,8,6.43078993319971
"134"," Abel ,  Josef ",1768," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q700345"," painter ",NA,NA,NA,6510,27,13,NA,NA,NA,1.16990943687339
"135"," Abildgaard ,  Nikolai ",1743,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q319854"," painter ",12934,107,32,3133,43,32,NA,NA,NA,4.2865888965103
"136"," Allston ,  Washington ",1779," United States of America ","https://www.wikidata.org/wiki/Special:EntityPage/Q468272"," painter ",NA,NA,NA,9316,33,21,NA,NA,NA,1.74782850572709
"137"," Alma-Tadema ,  Lawrence ",1836,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q240526"," painter ",38357,387,42,8800,85,42,26699,112,42,11.0536813948258
