"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"513","Apfaltern, Ernst",1720,"Austria","https://www.wikidata.org/wiki/Special:EntityPage/Q1360768","",NA,NA,NA,1378,13,2,NA,NA,NA,0.0359147137459734
"514","Baader, Ferdinand",1747,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q167811","",NA,NA,NA,1790,17,3,NA,NA,NA,0.0649709238564672
"515","Bardili, Christoph",1761,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q285917","",NA,NA,NA,3395,13,10,782,3,10,0.39736480470748
"516","Batteux, Charles",1713,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1063695","",NA,NA,NA,6903,26,11,3881,38,11,0.597326278275257
"517","Baumeister, Friedrich",1709,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q72887","",NA,NA,NA,4145,21,6,1380,6,6,0.291202134476832
"518","Beattie ,  James",1735,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q915031","",NA,NA,NA,3325,23,9,4269,21,9,0.447399919293077
"519","Bechtold, Johann",1732,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1693777","",NA,NA,NA,6613,16,1,NA,NA,NA,0.105925352952567
"520","Blair ,  Hugh",1718,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q924515","",NA,NA,NA,3267,17,10,NA,NA,NA,0.215140726443439
"521","Boll, Anton%C3%ADn",1721,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q608240","",NA,NA,NA,2604,22,1,NA,NA,NA,0.0475183292341079
"522","Brockie, Marianus",1687,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1521770","",NA,NA,NA,3581,11,3,NA,NA,NA,0.0874556119390462
"523","Q47454341 ,  Johann",1667,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q63500","",5968,52,12,9253,97,12,NA,NA,NA,0.780823968064251
"524","Buffier, Claude",1661,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q722978","",NA,NA,NA,1769,16,5,8691,15,5,0.328970095879531
"525","Buonafede, Appiano",1716,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q621023","",1944,8,5,7624,15,5,1567,5,5,0.432440978336459
"526","Burlamaqui, Jean-Jacques",1694,"Republic of Geneva","https://www.wikidata.org/wiki/Special:EntityPage/Q966930","",NA,NA,NA,17054,12,9,2915,19,9,0.635718422271439
"527","Butler ,  Joseph",1692,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q218322","",17642,397,21,2236,28,21,4251,21,21,1.80111260799235
"528","Caesar, Karl",1744,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1443785","",NA,NA,NA,2059,11,1,NA,NA,NA,0.0267345486470142
"529","Canz, Israel",1690,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q103484","",NA,NA,NA,3956,28,2,1259,7,2,0.155678930773509
"530","Carmichael, Gershom",1672,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1514998","",NA,NA,NA,1394,8,3,NA,NA,NA,0.0487743312744741
"531","Carpov, Jakob",1699,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q38049317","",NA,NA,NA,4715,11,1,NA,NA,NA,0.06975065480071
"532","Christiani, Karl",1707,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1730289","",NA,NA,NA,3580,10,1,NA,NA,NA,0.0502813904005718
"533","Cornova, Ignaz",1740,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1657424","",NA,NA,NA,6250,30,3,NA,NA,NA,0.151335362243397
"534","Cramer, Johann",1706,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q4237557","",NA,NA,NA,6115,20,4,NA,NA,NA,0.156314384575805
