"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"2829","Milanollo, Teresa",1827,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q447815"," composer ",NA,NA,NA,3007,13,7,NA,NA,NA,0.340558817160005
"2830","Millault, Edouard",1808,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1287591"," composer ",NA,NA,NA,2065,12,1,NA,NA,NA,0.120875384427556
"2831","Minkus, L%C3%A9on",1826," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q434821"," composer ",32534,288,22,4541,43,22,NA,NA,NA,3.02902338602173
"2832","M%C3%B6hring, Ferdinand",1816,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q98717"," composer ",NA,NA,NA,3952,16,3,NA,NA,NA,0.253044429423816
"2833","Molique, Bernhard",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q571562"," composer ",6083,43,8,3715,32,8,NA,NA,NA,0.932450913463223
"2834","M%C3%B6llendorf, Julius",1821,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q822659"," composer ",NA,NA,NA,3431,15,3,NA,NA,NA,0.233892971050843
"2835","Moniuszko, Stanis%C5%82aw",1819,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q217613"," composer ",24070,476,40,39582,133,40,9057,57,41,7.06619051182405
"2836"," Montfort ,  Alexandre ",1803,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2643754"," composer ",NA,NA,NA,2449,12,3,23983,4,4,0.755624246391993
"2837","Monzino, Giacomo",1772,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1522142"," composer ",NA,NA,NA,1846,10,1,NA,NA,NA,0.11009444959225
"2838","Morales, Melesio",1838," Mexico ","https://www.wikidata.org/wiki/Special:EntityPage/Q711959"," composer ",1302,20,5,1229,22,5,NA,NA,NA,0.459014407709378
"2839"," Moretti ,  Federico ",1769,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1400517"," composer ",NA,NA,NA,2967,7,4,NA,NA,NA,0.235622492097745
"2840","Morlacchi, Francesco",1784,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q571408"," pianist ",NA,NA,NA,7490,46,11,6534,59,11,1.29746505834531
"2841","Mosca, Luigi",1775,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1339691"," composer ",NA,NA,NA,4216,15,7,NA,NA,NA,0.38444638880155
"2842","Moscheles, Ignaz",1794," Habsburg Monarchy ","https://www.wikidata.org/wiki/Special:EntityPage/Q159551"," pianist ",17945,483,25,6715,150,25,NA,NA,NA,3.24080368847829
"2843","Mosonyi, Mih%C3%A1ly",1815," Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q323868"," composer ",2013,31,6,3978,27,6,NA,NA,NA,0.65916381020964
"2844"," Mozart ,  Franz ",1791," Austrian Empire ","https://www.wikidata.org/wiki/Special:EntityPage/Q156023"," composer ",10481,352,30,12300,67,30,NA,NA,NA,3.18620072049024
