"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"265","Giambologna, Giambologna",1529,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q220136"," sculptor ",10173,272,40,NA,NA,NA,NA,NA,NA,2.3341977871907
"266","Gucci, Santi",1530,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q266103"," sculptor ",2953,32,11,NA,NA,NA,510,12,11,0.973103010430906
"267","Landini, Taddeo",1550,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2477967"," sculptor ",3081,13,5,NA,NA,NA,1853,8,5,0.544490196440969
"268","Lombardo, Girolamo",1506,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3768939"," sculptor ",2058,11,3,NA,NA,NA,NA,NA,NA,0.157406729728776
"269","Lombardo, Lodovico",1507,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q6666495"," artist ",1095,13,1,NA,NA,NA,NA,NA,NA,0.0511689571150701
"270","Lorenzetto, Lorenzetto",1490,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1363951"," sculptor ",4695,27,8,NA,NA,NA,2245,13,8,0.887135149933782
"271","Lorenzi, Stoldo",1534,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3973803"," sculptor ",995,10,5,NA,NA,NA,6912,9,5,0.612056150970788
"272","Lotti, Cosimo",1571,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q5173943"," architect ",2613,10,3,NA,NA,NA,NA,NA,NA,0.179566499132782
"273","Maderno, Stefano",1576,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1348891"," sculptor ",6088,27,12,NA,NA,NA,3613,14,12,1.27651227549909
"274","Manlio, Ferdinando",1499,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3742630"," architect ",1649,10,3,NA,NA,NA,NA,NA,NA,0.137369283400005
"275"," Mariani ,  Camillo ",1567,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2528587"," sculptor ",7159,17,6,NA,NA,NA,2610,8,6,0.825938043834468
"276","Masnago, Allessandro",1575,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q4732175"," sculptor ",1843,2,1,NA,NA,NA,NA,NA,NA,0.0604342165337396
"277","Mochi, Orazio",1571,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q7099969"," sculptor ",1015,5,1,NA,NA,NA,NA,NA,NA,0.0305929472930213
"278","Montelupo, Raffaello",1505,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1370859"," sculptor ",7142,45,7,NA,NA,NA,2117,14,7,0.962117816762826
"279","Montorsoli, Giovanni",1507,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q27040"," sculptor ",11045,43,12,NA,NA,NA,3184,20,12,1.53661298294166
"280","Mosca, Simone",1492,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2342529"," sculptor ",1148,10,5,NA,NA,NA,1845,4,5,0.438108932660839
